seed,fold,method,dataset,epochs,test_acc
0,0,gin,PROTEINS,200,0.7829
0,1,gin,PROTEINS,200,0.7817
0,2,gin,PROTEINS,200,0.7843
0,3,gin,PROTEINS,200,0.8192
0,4,gin,PROTEINS,200,0.7836
0,5,gin,PROTEINS,200,0.7250
0,6,gin,PROTEINS,200,0.8033
0,7,gin,PROTEINS,200,0.7777
0,8,gin,PROTEINS,200,0.7798
0,9,gin,PROTEINS,200,0.7941
1,0,gin,PROTEINS,200,0.7990
1,1,gin,PROTEINS,200,0.8389
1,2,gin,PROTEINS,200,0.8172
1,3,gin,PROTEINS,200,0.7938
1,4,gin,PROTEINS,200,0.7575
1,5,gin,PROTEINS,200,0.7457
1,6,gin,PROTEINS,200,0.7996
1,7,gin,PROTEINS,200,0.8452
1,8,gin,PROTEINS,200,0.7909
1,9,gin,PROTEINS,200,0.7846
2,0,gin,PROTEINS,200,0.8119
2,1,gin,PROTEINS,200,0.7269
2,2,gin,PROTEINS,200,0.7757
2,3,gin,PROTEINS,200,0.8101
2,4,gin,PROTEINS,200,0.8265
2,5,gin,PROTEINS,200,0.7788
2,6,gin,PROTEINS,200,0.8052
2,7,gin,PROTEINS,200,0.7997
2,8,gin,PROTEINS,200,0.8226
2,9,gin,PROTEINS,200,0.7415
0,0,dual_geometric,PROTEINS,200,0.7922
0,1,dual_geometric,PROTEINS,200,0.7225
0,2,dual_geometric,PROTEINS,200,0.6855
0,3,dual_geometric,PROTEINS,200,0.7528
0,4,dual_geometric,PROTEINS,200,0.7425
0,5,dual_geometric,PROTEINS,200,0.8025
0,6,dual_geometric,PROTEINS,200,0.7954
0,7,dual_geometric,PROTEINS,200,0.7324
0,8,dual_geometric,PROTEINS,200,0.8015
0,9,dual_geometric,PROTEINS,200,0.7396
1,0,dual_geometric,PROTEINS,200,0.7703
1,1,dual_geometric,PROTEINS,200,0.7633
1,2,dual_geometric,PROTEINS,200,0.7770
1,3,dual_geometric,PROTEINS,200,0.8006
1,4,dual_geometric,PROTEINS,200,0.7945
1,5,dual_geometric,PROTEINS,200,0.7849
1,6,dual_geometric,PROTEINS,200,0.7949
1,7,dual_geometric,PROTEINS,200,0.7892
1,8,dual_geometric,PROTEINS,200,0.7522
1,9,dual_geometric,PROTEINS,200,0.7491
2,0,dual_geometric,PROTEINS,200,0.7574
2,1,dual_geometric,PROTEINS,200,0.7899
2,2,dual_geometric,PROTEINS,200,0.7648
2,3,dual_geometric,PROTEINS,200,0.8513
2,4,dual_geometric,PROTEINS,200,0.7457
2,5,dual_geometric,PROTEINS,200,0.7364
2,6,dual_geometric,PROTEINS,200,0.7989
2,7,dual_geometric,PROTEINS,200,0.8207
2,8,dual_geometric,PROTEINS,200,0.7901
2,9,dual_geometric,PROTEINS,200,0.8011
